item	purity_sphingo	purity_non_sphingo	weighted_ratio
GC_00000065	0.3824175824175824	0.8472049689440994	-0.46478738652651697
GC_00000066	0.9868131868131869	0.3763975155279503	0.6104156712852365
GC_00000067	0.9956043956043956	0.9875776397515528	0.008026755852842848
GC_00000068	0.978021978021978	0.7416149068322981	0.23640707118967985
GC_00000069	0.6813186813186813	0.5440993788819876	0.13721930243669378
GC_00000070	0.9978021978021978	0.9552795031055901	0.042522694696607743
GC_00000071	0.002197802197802198	0.6012422360248447	-0.5990444338270425
GC_00000072	0.9978021978021978	0.9739130434782609	0.0238891543239369
GC_00000073	0.9978021978021978	0.577639751552795	0.4201624462494028
GC_00000074	0.9516483516483516	0.03602484472049689	0.9156235069278547
GC_00000075	1.0	0.9813664596273292	0.018633540372670843
GC_00000076	0.9648351648351648	0.9838509316770186	-0.0190157668418538
GC_00000077	0.4945054945054945	0.6521739130434783	-0.15766841853798375
GC_00000078	0.8417582417582418	0.5391304347826087	0.3026278069756331
GC_00000079	0.9934065934065934	0.9677018633540373	0.025704730052556135
GC_00000080	0.9802197802197802	0.7031055900621118	0.27711419015766836
GC_00000081	0.9978021978021978	0.867080745341615	0.13072145246058287
GC_00000082	0.9934065934065934	0.9826086956521739	0.010797897754419528
GC_00000083	0.9956043956043956	0.9701863354037267	0.025418060200668946
GC_00000084	0.9934065934065934	0.9006211180124224	0.09278547539417104
GC_00000085	0.367032967032967	0.6708074534161491	-0.3037744863831821
GC_00000086	0.026373626373626374	0.622360248447205	-0.5959866220735786
GC_00000087	1.0	0.9701863354037267	0.029813664596273326
GC_00000088	0.9868131868131869	0.9627329192546584	0.024080267558528434
GC_00000089	1.0	0.4360248447204969	0.5639751552795031
GC_00000090	0.9978021978021978	0.7726708074534161	0.2251313903487817
GC_00000091	0.7274725274725274	0.867080745341615	-0.1396082178690875
GC_00000092	0.9978021978021978	0.9763975155279503	0.021404682274247522
GC_00000093	0.9956043956043956	0.9652173913043478	0.030387004300047815
GC_00000094	0.734065934065934	0.782608695652174	-0.048542761586239935
GC_00000095	0.9868131868131869	0.4496894409937888	0.537123745819398
GC_00000096	0.9978021978021978	0.9217391304347826	0.0760630673674152
GC_00000097	1.0	0.9937888198757764	0.006211180124223614
GC_00000098	0.9934065934065934	0.9751552795031055	0.018251313903487887
GC_00000099	0.9604395604395605	0.17142857142857143	0.7890109890109891
GC_00000100	0.9956043956043956	0.6434782608695652	0.35212613473483045
GC_00000101	0.9978021978021978	0.9838509316770186	0.013951266125179163
GC_00000102	0.9956043956043956	0.9726708074534162	0.022933588150979456
GC_00000103	0.9978021978021978	0.9763975155279503	0.021404682274247522
GC_00000104	1.0	0.9850931677018634	0.014906832298136607
GC_00000105	0.9384615384615385	0.884472049689441	0.053989488772097416
GC_00000106	0.9956043956043956	0.9763975155279503	0.019206880076445332
GC_00000107	1.0	0.9838509316770186	0.016149068322981353
GC_00000108	1.0	0.991304347826087	0.008695652173912993
GC_00000109	0.9934065934065934	0.9652173913043478	0.028189202102245625
GC_00000110	0.9978021978021978	0.986335403726708	0.011466794075489783
GC_00000111	1.0	0.9788819875776398	0.02111801242236022
GC_00000112	0.9978021978021978	0.8024844720496894	0.1953177257525084
GC_00000113	0.9934065934065934	0.9714285714285714	0.02197802197802201
GC_00000114	0.9934065934065934	0.9875776397515528	0.005828953655040658
GC_00000115	0.9978021978021978	0.9714285714285714	0.02637362637362639
GC_00000116	0.9956043956043956	0.9751552795031055	0.020449116101290077
GC_00000117	0.9956043956043956	0.9726708074534162	0.022933588150979456
GC_00000118	0.9934065934065934	0.9714285714285714	0.02197802197802201
GC_00000119	0.9978021978021978	0.9701863354037267	0.027615862398471136
GC_00000120	0.9956043956043956	0.977639751552795	0.017964644051600587
GC_00000121	0.9956043956043956	0.9739130434782609	0.02169135212613471
GC_00000122	0.9978021978021978	0.9739130434782609	0.0238891543239369
